Company,BBG ticker,Date,Reason,Type,Industry,MarketCapUSD,1M_TR,3M_TR,6M_TR,12M_TR,24M_TR,1M_SXXP,3M_SXXP,6M_SXXP,12M_SXXP,24M_SXXP,1M_ALPHA,3M_ALPHA,6M_ALPHA,12M_ALPHA,24M_ALPHA
Barclays PLC (LSE:BARC),BARC LN,10-May-17,Not explained,Big4 to Big4,Financial,47938,-0.016,-0.02,-0.143,0.033,-0.21,-0.008,-0.041,-0.005,0.023,0.02,-0.008,0.021,-0.137,0.01,-0.23
Barclays PLC (LSE:BARC),BARC LN,22-Mar-17,Tender,Big4 to Big4,Financial,46792,-0.074,-0.127,-0.143,-0.065,-0.271,0.016,0.057,0.048,0.019,0.075,-0.09,-0.185,-0.19,-0.084,-0.346
British American Tobacco p.l.c. (LSE:BATS),BATS LN,29-Apr-15,Tender,Big4 to Big4,"Consumer, Non-cyclical",101653,0.005,0.026,0.099,0.209,0.562,0.015,0.003,-0.039,-0.111,0.043,-0.01,0.023,0.138,0.319,0.52
British American Tobacco p.l.c. (LSE:BATS),BATS LN,24-Mar-15,Resignation,Big4 to Big4,"Consumer, Non-cyclical",101653,0.023,-0.02,-0.022,0.134,0.548,0.02,0.003,-0.139,-0.14,0,0.002,-0.023,0.117,0.274,0.549
British American Tobacco p.l.c. (LSE:BATS),BATS LN,02-Mar-15,Resignation,Big4 to Big4,"Consumer, Non-cyclical",101653,-0.022,-0.041,-0.059,0.1,0.482,0.022,0.032,-0.074,-0.1,0.028,-0.044,-0.073,0.015,0.2,0.454
Balfour Beatty plc (LSE:BBY),BBY LN,25-Apr-16,Previous not seeking reapp.,Big4 to Big4,Industrial,2747,0.067,-0.031,0.196,0.244,0.272,0.016,-0.002,0.01,0.156,0.174,0.051,-0.03,0.186,0.089,0.098
BMO Commercial Property Trust Limited (LSE:BCPT),BCPT LN,20-Jun-16,Tender,Big4 to Big4,Financial,#N/A N/A,0.034,0.071,0.156,0.272,0.391,0.01,0.014,0.079,0.191,0.216,0.024,0.057,0.077,0.081,0.175
Beazley plc (LSE:BEZ),BEZ LN,07-Jun-19,Resignation,Big4 to Big4,Financial,3357,0.001,0.043,,,,0.036,0.032,,,,-0.035,0.011,,,
Beazley plc (LSE:BEZ),BEZ LN,21-Mar-19,Resignation,Big4 to Big4,Financial,3357,0.083,0.054,0.174,,,0.031,0.031,0.059,,,0.051,0.023,0.115,,
Beazley plc (LSE:BEZ),BEZ LN,20-Jul-18,Resignation,Big4 to Big4,Financial,4077,0.082,-0.017,-0.026,0.022,,-0.003,-0.058,-0.066,0.042,,0.086,0.041,0.04,-0.019,
The Berkeley Group Holdings plc (LSE:BKG),BKG LN,06-Dec-13,Resignation,Big4 to Big4,"Consumer, Cyclical",4931,0.107,0.108,-0.029,0.1,0.625,0.034,0.071,0.122,0.145,0.247,0.073,0.037,-0.151,-0.045,0.378
British Land Company Plc (LSE:BLND),BLND LN,18-Jul-14,Resignation,Big4 to Big4,Financial,#N/A N/A,0.009,-0.034,0.135,0.222,-0.057,-0.016,-0.058,0.046,0.232,0.065,0.025,0.024,0.089,-0.01,-0.123
British Land Company Plc (LSE:BLND),BLND LN,28-Jan-14,Resignation,Big4 to Big4,Financial,#N/A N/A,0.033,0.032,0.086,0.289,0.151,0.045,0.042,0.078,0.176,0.1,-0.012,-0.01,0.008,0.113,0.05
B&M European Value Retail S.A. (LSE:BME),BME LN,02-Aug-16,Tender,Big4 to Big4,"Consumer, Cyclical",3692,0.091,-0.082,0.198,0.489,0.703,0.048,-0.007,0.088,0.166,0.231,0.043,-0.075,0.11,0.323,0.471
B&M European Value Retail S.A. (LSE:BME),BME LN,24-Nov-15,Tender,Big4 to Big4,"Consumer, Cyclical",4849,-0.076,-0.076,-0.067,-0.132,0.374,-0.024,-0.144,-0.062,-0.057,0.102,-0.052,0.068,-0.005,-0.075,0.272
Bunzl plc (LSE:BNZL),BNZL LN,20-May-14,Tender,Big4 to Big4,"Consumer, Cyclical",8011,-0.014,-0.024,0.061,0.145,0.26,0.032,-0.002,0.011,0.239,0.066,-0.047,-0.022,0.05,-0.094,0.194
BP p.l.c. (LSE:BP.),BP/ LN,21-May-18,Not explained,Big4 to Big4,Energy,133974,-0.056,-0.056,-0.078,0.002,,-0.034,-0.022,-0.093,-0.006,,-0.023,-0.035,0.014,0.007,
BlackRock Smaller Companies Trust plc (LSE:BRSC),BRSC LN,15-Jan-16,Not explained,Big4 to Big4,Financial,#N/A N/A,-0.104,-0.043,-0.131,0.082,0.499,-0.023,0.051,0.053,0.149,0.291,-0.08,-0.094,-0.184,-0.067,0.208
Brewin Dolphin Holdings PLC (LSE:BRW),BRW LN,05-Aug-19,Tender,Big4 to Big4,Financial,1150,0.053,0.149,,,,0.048,0.1,,,,0.005,0.048,,,
BlackRock World Mining Trust plc (LSE:BRWM),BRWM LN,28-Apr-16,Tender,Big4 to Big4,Financial,#N/A N/A,-0.08,0.18,0.338,0.41,0.656,0.012,-0.014,-0.005,0.148,0.179,-0.091,0.194,0.343,0.262,0.477
BT Group plc (LSE:BT.A),BT/A LN,13-Nov-18,Resignation,Big4 to Big4,Communications,29154,-0.003,-0.073,-0.17,-0.156,,-0.04,0.005,0.045,0.156,,0.036,-0.078,-0.215,-0.311,
Bovis Homes Group PLC (LSE:BVS),BVS LN,15-May-15,Previous not seeking reapp.,Big4 to Big4,"Consumer, Cyclical",1850,0.067,0.148,-0.086,-0.115,-0.047,-0.03,-0.018,-0.057,-0.127,0.068,0.097,0.166,-0.03,0.012,-0.116
Big Yellow Group Plc (LSE:BYG),BYG LN,20-Jul-17,Tender,Big4 to Big4,Financial,1436,-0.037,0.015,0.089,0.283,0.376,-0.023,0.02,0.052,0.038,0.081,-0.014,-0.006,0.037,0.246,0.295
Close Brothers Group plc (LSE:CBG),CBG LN,16-Nov-17,Not explained,Big4 to Big4,Financial,3083,0.032,0.126,0.153,0.074,0.141,0.009,-0.008,0.042,-0.039,0.132,0.022,0.134,0.111,0.113,0.009
