Company,BBG ticker,Date,Reason,Type,Industry,MarketCapUSD,1M_TR,3M_TR,6M_TR,12M_TR,24M_TR,1M_SXXP,3M_SXXP,6M_SXXP,12M_SXXP,24M_SXXP,1M_ALPHA,3M_ALPHA,6M_ALPHA,12M_ALPHA,24M_ALPHA
Inchcape plc (LSE:INCH),INCH LN,24-May-18,Tender,Big4 to Big4,"Consumer, Cyclical",4392,0.05,-0.033,-0.199,-0.168,,-0.01,-0.01,-0.083,-0.001,,0.06,-0.022,-0.116,-0.167,
intu properties plc (LSE:INTU),INTU LN,03-May-19,Not explained,Big4 to Big4,Financial,1959,-0.053,-0.552,-0.545,,,-0.042,-0.019,0.042,,,-0.011,-0.532,-0.587,,
Intertek Group plc (LSE:ITRK),ITRK LN,25-May-16,Tender,Big4 to Big4,"Consumer, Non-cyclical",6602,0.027,0.147,0.04,0.408,0.799,-0.073,-0.012,-0.006,0.163,0.198,0.1,0.158,0.046,0.245,0.601
JPMorgan Japanese Investment Trust plc (LSE:JFJ),JFJ LN,24-Nov-13,Resignation,Non-Big4 to Big4,Financial,#N/A N/A,0.014,-0.04,-0.148,-0.026,0.207,0.006,0.051,0.082,0.106,0.239,0.008,-0.092,-0.23,-0.132,-0.033
Johnson Matthey Plc (LSE:JMAT),JMAT LN,26-Jul-18,Tender,Big4 to Big4,Basic Materials,8262,-0.042,-0.236,-0.182,-0.115,,-0.015,-0.093,-0.076,0.038,,-0.027,-0.142,-0.107,-0.152,
KAZ Minerals PLC (LSE:KAZ),KAZ LN,25-Jun-12,Tender,Big4 to Big4,Basic Materials,7685,-0.016,0.067,0.146,-0.631,-0.54,0.033,0.142,0.167,0.193,0.506,-0.049,-0.076,-0.02,-0.824,-1.046
Legal & General Group Plc (LSE:LGEN),LGEN LN,17-May-18,Tender,Big4 to Big4,Financial,21937,-0.064,-0.087,-0.123,0.041,,-0.012,-0.028,-0.085,-0.001,,-0.052,-0.059,-0.039,0.042,
London Stock Exchange Group plc (LSE:LSE),LSE LN,12-Jun-14,Resignation,Big4 to Big4,Financial,6743,-0.04,0.029,0.164,0.32,0.445,-0.03,-0.005,-0.041,0.155,0.023,-0.01,0.034,0.205,0.165,0.422
Mitchells & Butlers plc (LSE:MAB),MAB LN,05-May-11,Not explained,Big4 to Big4,"Consumer, Cyclical",1951,-0.043,-0.253,-0.299,-0.221,0.035,-0.006,-0.129,-0.121,-0.053,0.17,-0.037,-0.124,-0.178,-0.169,-0.135
Micro Focus International plc (LSE:MCRO),MCRO LN,11-Apr-17,Tender,Big4 to Big4,Technology,7697,-0.012,-0.117,-0.011,-0.514,-0.143,0.042,0.009,0.043,0.018,0.085,-0.053,-0.126,-0.054,-0.532,-0.228
McCarthy & Stone plc (LSE:MCS),MCS LN,23-Jan-19,Tender,Big4 to Big4,Financial,776,-0.098,-0.091,0.005,,,0.048,0.116,0.134,,,-0.146,-0.208,-0.129,,
Morgan Advanced Materials plc (LSE:MGAM),MGAM LN,09-May-14,Tender,Big4 to Big4,Industrial,1501,0.049,-0.03,-0.105,0.032,-0.227,0.036,-0.031,0.004,0.219,0.051,0.014,0.001,-0.109,-0.187,-0.278
Marks and Spencer Group plc (LSE:MKS),MKS LN,08-Jul-14,Tender,Big4 to Big4,"Consumer, Cyclical",12323,-0.021,-0.058,0.06,0.261,-0.187,-0.043,-0.031,0.015,0.131,0.029,0.022,-0.027,0.044,0.13,-0.216
Mondi plc (LSE:MNDI),MNDI LN,08-Oct-15,Tender,Big4 to Big4,Basic Materials,10468,0.035,-0.16,-0.111,0.19,0.537,0.052,-0.053,-0.07,-0.027,0.153,-0.017,-0.107,-0.041,0.217,0.384
Marshalls plc (LSE:MSLH),MSLH LN,20-May-15,Tender,Big4 to Big4,Industrial,727,0.066,0.167,0.154,0.128,0.415,-0.048,-0.075,-0.05,-0.139,0.03,0.114,0.242,0.204,0.267,0.385
Mitie Group plc (LSE:MTO),MTO LN,20-Sep-17,Resignation,Big4 to non-Big4,"Consumer, Non-cyclical",1001,-0.069,-0.265,-0.413,-0.376,-0.386,0.022,0.021,-0.007,0.035,0.103,-0.092,-0.286,-0.406,-0.412,-0.49
NCC Group plc (LSE:NCC),NCC LN,01-Nov-13,Tender,Big4 to Big4,Technology,346,0.012,0.219,0.112,0.214,0.731,0.013,0.007,0.069,0.082,0.244,-0.001,0.212,0.043,0.132,0.487
NCC Group plc (LSE:NCC),NCC LN,08-Dec-11,Resignation,Big4 to Big4,Technology,307,0.081,0.147,-0.023,0.105,0.428,0.042,0.119,0.047,0.221,0.432,0.039,0.029,-0.071,-0.116,-0.004
National Grid plc (LSE:NG.),NG/ LN,31-Jul-17,Tender,Big4 to Big4,Utilities,50121,0.04,-0.033,-0.126,-0.084,0.008,-0.008,0.051,0.055,0.071,0.095,0.048,-0.084,-0.181,-0.155,-0.086
National Grid plc (LSE:NG.),NG/ LN,12-Nov-15,Not explained,Big4 to Big4,Utilities,52052,0.003,0.04,0.112,0.091,0.063,-0.044,-0.158,-0.086,-0.061,0.116,0.047,0.198,0.198,0.153,-0.053
NewRiver REIT plc (LSE:NRR),NRR LN,04-Jul-19,Resignation,Big4 to Big4,Financial,945,-0.088,0.071,,,,-0.037,-0.027,,,,-0.051,0.098,,,
NEXT plc (LSE:NXT),NXT LN,18-May-17,Previous reappointed,Big4 to Big4,"Consumer, Cyclical",7099,-0.06,-0.009,0.037,0.419,0.465,0.003,-0.031,-0.003,0.048,0.049,-0.063,0.022,0.039,0.372,0.415
NEXT plc (LSE:NXT),NXT LN,25-Jun-16,Previous dismissed,Big4 to Big4,"Consumer, Cyclical",14412,0.055,0.017,0.049,-0.128,0.376,0.06,0.077,0.128,0.244,0.251,-0.005,-0.061,-0.079,-0.372,0.125
Ocado Group plc (LSE:OCDO),OCDO LN,03-May-17,Tender,Big4 to Big4,"Consumer, Non-cyclical",2049,0.201,0.163,0.079,1.149,4.247,0.017,-0.016,0.033,0.021,0.073,0.185,0.178,0.046,1.128,4.174
On the Beach Group plc (LSE:OTB),OTB LN,07-Mar-19,Tender,Big4 to Big4,"Consumer, Cyclical",846,0.002,0.108,-0.11,,,0.043,0.03,0.063,,,-0.041,0.079,-0.173,,
Oxford BioMedica plc (LSE:OXB),OXB LN,22-Jun-18,Resignation,Big4 to Big4,"Consumer, Non-cyclical",372,-0.151,-0.089,-0.351,-0.281,,0.002,0.003,-0.118,0.036,,-0.154,-0.091,-0.233,-0.317,
PageGroup plc (LSE:PAGE),PAGE LN,05-Jul-11,Resignation,Big4 to Big4,"Consumer, Non-cyclical",2783,-0.23,-0.354,-0.372,-0.324,-0.257,-0.132,-0.182,-0.093,-0.029,0.128,-0.099,-0.172,-0.279,-0.295,-0.385
PayPoint plc (LSE:PAY),PAY LN,17-Aug-17,Resignation,Big4 to Big4,Financial,876,0.006,-0.011,-0.051,0.115,0.146,0.011,0.022,0.017,0.045,0.052,-0.005,-0.033,-0.067,0.07,0.095
Polar Capital Technology Trust plc (LSE:PCT),PCT LN,07-Sep-17,Tender,Big4 to Big4,Financial,#N/A N/A,0.054,0.063,0.127,0.287,0.371,0.04,0.034,0.002,0.03,0.108,0.014,0.028,0.125,0.256,0.264
Provident Financial plc (LSE:PFG),PFG LN,29-Jun-12,Not explained,Big4 to Big4,Financial,2002,0.073,0.13,0.157,0.29,1.062,0.036,0.075,0.121,0.175,0.456,0.038,0.055,0.036,0.114,0.607
Premier Oil plc (LSE:PMO),PMO LN,17-May-17,Tender,Big4 to Big4,Energy,467,-0.167,-0.108,0.133,1.025,0.657,-0.002,-0.028,-0.007,0.045,0.045,-0.165,-0.08,0.14,0.98,0.612
Pennon Group Plc (LSE:PNN),PNN LN,26-Aug-14,Tender,Big4 to Big4,Utilities,4590,-0.041,0.03,0.055,-0.087,0.171,-0.001,0.014,0.148,0.053,0.071,-0.041,0.017,-0.093,-0.14,0.099
Pennon Group Plc (LSE:PNN),PNN LN,01-Aug-14,Tender,Big4 to Big4,Utilities,4590,0.039,0.067,0.15,0.055,0.241,0.036,0.02,0.116,0.231,0.094,0.003,0.047,0.034,-0.176,0.147
QinetiQ Group plc (LSE:QQ.),QQ/ LN,19-Jul-17,Tender,Big4 to Big4,"Consumer, Non-cyclical",2001,-0.041,-0.005,-0.123,0.129,0.165,-0.027,0.014,0.048,0.035,0.077,-0.014,-0.019,-0.171,0.094,0.088
QinetiQ Group plc (LSE:QQ.),QQ/ LN,26-Jan-17,Tender,Big4 to Big4,"Consumer, Non-cyclical",1762,0.034,0.101,-0.092,-0.179,0.173,0.01,0.07,0.067,0.126,0.041,0.024,0.031,-0.159,-0.305,0.132
Rathbone Brothers Plc (LSE:RAT),RAT LN,09-May-19,Not explained,Big4 to Big4,Financial,1648,-0.103,-0.101,-0.096,,,0.011,0,0.095,,,-0.114,-0.101,-0.191,,
Reckitt Benckiser Group plc (LSE:RB.),RB/ LN,03-May-18,Tender,Big4 to Big4,"Consumer, Non-cyclical",65857,0.039,0.235,0.15,0.121,,0.014,0.023,-0.038,0.051,,0.025,0.212,0.188,0.07,
The Royal Bank of Scotland Group plc (LSE:RBS),RBS LN,04-May-16,Tender,Big4 to Big4,Financial,37380,0.082,-0.124,-0.156,0.218,0.242,0.037,0.031,0.008,0.222,0.247,0.045,-0.155,-0.164,-0.004,-0.005
The Royal Bank of Scotland Group plc (LSE:RBS),RBS LN,04-Nov-14,Tender,Big4 to Big4,Financial,67983,0.035,0.003,-0.105,-0.143,-0.513,0.044,0.129,0.219,0.186,0.062,-0.009,-0.125,-0.323,-0.328,-0.575
Redrow plc (LSE:RDW),RDW LN,06-Nov-19,Tender,Big4 to Big4,"Consumer, Cyclical",2432,,,,,,,,,,,,,,,
Redrow plc (LSE:RDW),RDW LN,09-Nov-18,Tender,Big4 to Big4,"Consumer, Cyclical",2601,-0.141,0.036,0.051,0.129,,-0.054,-0.017,0.05,0.15,,-0.087,0.054,0.001,-0.021,
Regional REIT Limited (LSE:RGL),RGL LN,27-May-16,Previous reappointed,Non-Big4 to non-Big4,Financial,423,-0.027,-0.005,0.058,0.092,0.125,-0.114,-0.01,-0.01,0.157,0.194,0.087,0.005,0.068,-0.064,-0.069
Royal Mail plc (LSE:RMG),RMG LN,28-Sep-15,Resignation,Big4 to Big4,Industrial,6577,-0.006,0.006,0.061,0.119,-0.069,0.101,0.071,-0.007,0.039,0.211,-0.108,-0.066,0.068,0.08,-0.279
Royal Mail plc (LSE:RMG),RMG LN,23-Jul-15,Resignation,Big4 to Big4,Industrial,6577,-0.071,-0.128,-0.115,0.018,-0.155,-0.09,-0.048,-0.143,-0.114,0.022,0.02,-0.081,0.028,0.133,-0.177
Rolls-Royce Holdings plc (LSE:RR.),RR/ LN,04-May-18,Tender,Big4 to Big4,Industrial,21077,0.004,0.309,0.003,0.132,,0.01,0.016,-0.045,0.044,,-0.006,0.293,0.048,0.088,
Renishaw plc (LSE:RSW),RSW LN,13-Oct-16,Tender,Big4 to Big4,Industrial,2108,-0.123,-0.06,0.106,0.706,0.475,0.007,0.095,0.15,0.205,0.143,-0.131,-0.155,-0.044,0.501,0.333
The Restaurant Group plc (LSE:RTN),RTN LN,28-Sep-18,Resignation,Big4 to Big4,"Consumer, Cyclical",747,-0.013,-0.362,-0.465,-0.319,,-0.079,-0.119,-0.004,0.061,,0.066,-0.244,-0.46,-0.38,
Safestore Holdings plc (LSE:SAFE),SAFE LN,29-Sep-14,Tender,Big4 to Big4,"Consumer, Cyclical",#N/A N/A,-0.067,0.083,0.293,0.402,0.868,-0.035,0.014,0.173,0.026,0.074,-0.032,0.069,0.12,0.376,0.794
Saga plc (LSE:SAGA),SAGA LN,22-Jun-17,Not explained,Big4 to Big4,"Consumer, Cyclical",2597,0.043,-0.016,-0.371,-0.323,-0.799,-0.021,-0.009,0.013,0.024,0.061,0.063,-0.006,-0.384,-0.348,-0.86
Saga plc (LSE:SAGA),SAGA LN,17-Jan-17,Not explained,Big4 to Big4,"Consumer, Cyclical",3010,-0.039,0.091,0.129,-0.337,-0.38,0.023,0.061,0.094,0.134,0.034,-0.063,0.03,0.035,-0.471,-0.414
SDL plc (LSE:SDL),SDL LN,04-May-10,Not explained,Big4 to Big4,Technology,511,0.012,0.166,0.306,0.516,0.605,-0.024,0.05,0.089,0.139,0.077,0.035,0.116,0.217,0.376,0.528
Schroder Investment Trust - Schroder AsiaPacific Fund plc (LSE:SDP),SDP LN,23-Jan-19,Resignation,Big4 to Big4,Financial,#N/A N/A,0.066,0.126,0.136,,,0.048,0.116,0.134,,,0.017,0.01,0.002,,
Schroders plc (LSE:SDR),SDR LN,26-Apr-18,Not explained,Big4 to Big4,Financial,13433,0.035,-0.051,-0.189,0.019,,0.027,0.03,-0.066,0.055,,0.009,-0.081,-0.124,-0.035,
Schroders plc (LSE:SDR),SDR LN,09-Jan-13,Not explained,Big4 to Big4,Financial,5684,0.118,0.208,0.384,0.512,0.564,-0.002,0.008,0.049,0.179,0.253,0.12,0.2,0.335,0.333,0.311
S4 Capital plc (LSE:SFOR),SFOR LN,31-Jan-19,Not explained,Non-Big4 to Big4,Communications,4,-0.033,0.093,0.156,,,0.042,0.106,0.105,,,-0.075,-0.013,0.051,,
SEGRO Plc (LSE:SGRO),SGRO LN,22-Apr-16,Tender,Big4 to Big4,Financial,4721,0.048,0.024,0.094,0.286,0.721,-0.021,-0.008,0.008,0.123,0.172,0.069,0.033,0.086,0.163,0.549
SIG plc (LSE:SHI),SHI LN,04-Jul-18,Tender,Big4 to Big4,"Consumer, Cyclical",1410,-0.137,-0.111,-0.164,-0.02,,0.025,0.004,-0.089,0.072,,-0.162,-0.115,-0.075,-0.092,
Standard Life Aberdeen plc (LSE:SLA),SLA LN,16-May-17,Tender,Big4 to Big4,Financial,#N/A N/A,-0.003,0.116,0.084,-0.005,-0.233,-0.013,-0.034,-0.016,0.026,0.036,0.01,0.151,0.1,-0.03,-0.269
SL Private Equity (LSE:SLPE),SLPE LN,28-Aug-18,Resignation,Big4 to non-Big4,Financial,#N/A N/A,0.046,0.018,0.069,0.119,,-0.005,-0.069,-0.024,0.004,,0.05,0.088,0.093,0.115,
SL Private Equity (LSE:SLPE),SLPE LN,24-Jan-17,Not explained,Big4 to Big4,Financial,#N/A N/A,0.015,0.088,0.108,0.23,0.235,0.025,0.079,0.074,0.144,0.05,-0.01,0.009,0.034,0.086,0.184
Smiths Group plc (LSE:SMIN),SMIN LN,17-Nov-10,Previous reappointed,Big4 to Big4,Industrial,6844,0.091,0.204,0.07,-0.159,-0.034,0.035,0.093,0.059,-0.092,0.06,0.056,0.111,0.011,-0.066,-0.094
St. Modwen Properties PLC (LSE:SMP),SMP LN,28-Apr-16,Not explained,Big4 to Big4,Financial,1443,0.034,-0.114,-0.13,0.17,0.328,0.012,-0.014,-0.005,0.148,0.179,0.022,-0.1,-0.125,0.022,0.149
WH Smith PLC (LSE:SMWH),SMWH LN,21-Jan-15,Tender,Big4 to Big4,"Consumer, Cyclical",2279,-0.038,0.048,0.188,0.339,0.168,0.069,0.154,0.15,-0.054,0.082,-0.107,-0.106,0.039,0.393,0.086
Smith & Nephew plc (LSE:SN.),SN/ LN,09-Apr-15,Previous reappointed,Big4 to Big4,"Consumer, Non-cyclical",16991,-0.021,-0.045,-0.028,0.014,0.101,-0.015,-0.055,-0.096,-0.162,-0.003,-0.006,0.01,0.068,0.176,0.104
Smith & Nephew plc (LSE:SN.),SN/ LN,11-Jul-14,Tender,Big4 to Big4,"Consumer, Non-cyclical",13096,-0.011,-0.028,0.167,0.122,0.325,-0.021,-0.041,0.011,0.19,0.055,0.01,0.013,0.156,-0.069,0.27
Sanne Group plc (LSE:SNN),SNN LN,05-Aug-19,Not explained,Big4 to Big4,Financial,1080,0.019,0.045,,,,0.048,0.1,,,,-0.029,-0.056,,,
Senior plc (LSE:SNR),SNR LN,13-Jul-17,Tender,Big4 to Big4,Industrial,1006,0.131,0.183,0.231,0.312,-0.048,-0.034,0.018,0.04,0.031,0.074,0.165,0.164,0.191,0.282,-0.122
Schroder Oriental Income Fund Limited (LSE:SOI),SOI LN,14-Feb-18,Resignation,Big4 to Big4,Financial,#N/A N/A,0.036,0.047,0.026,0.045,,0.004,0.065,0.055,0.006,,0.032,-0.018,-0.029,0.039,
Sports Direct International plc (LSE:SPD),SPD LN,23-Oct-19,Previous not seeking reapp.,Non-Big4 to non-Big4,"Consumer, Cyclical",2110,,,,,,,,,,,,,,,
Sports Direct International plc (LSE:SPD),SPD LN,14-Aug-19,Previous not seeking reapp.,Non-Big4 to non-Big4,"Consumer, Cyclical",2098,0.305,0.467,,,,0.072,0.11,,,,0.233,0.358,,,
Spirax-Sarco Engineering plc (LSE:SPX),SPX LN,20-May-14,Tender,Big4 to Big4,Industrial,3733,0.015,0.037,0.012,0.253,0.267,0.032,-0.002,0.011,0.239,0.066,-0.017,0.039,0,0.014,0.201
Sirius Real Estate Limited (LSE:SRE),SRE LN,21-Sep-18,Not explained,Big4 to Big4,Financial,858,-0.071,0.021,0.064,0.271,,-0.059,-0.12,0.002,0.061,,-0.012,0.141,0.062,0.21,
Sirius Real Estate Limited (LSE:SRE),SRE LN,07-Nov-17,Previous not seeking reapp.,Big4 to Big4,Financial,572,0.075,-0.06,0.089,0.021,0.362,-0.019,-0.033,0.005,-0.04,0.106,0.094,-0.027,0.084,0.061,0.256
Serco Group plc (LSE:SRP),SRP LN,27-May-16,Resignation,Big4 to Big4,Technology,1515,-0.086,0.19,0.261,0.108,-0.083,-0.114,-0.01,-0.01,0.157,0.194,0.029,0.2,0.271,-0.049,-0.277
SSE plc (LSE:SSE),SSE LN,18-Jul-19,Previous reappointed,Big4 to Big4,Utilities,16146,0.011,0.195,,,,-0.041,0.019,,,,0.053,0.177,,,
Spectris plc (LSE:SXS),SXS LN,26-May-17,Tender,Big4 to Big4,Industrial,3402,0.002,-0.067,-0.003,0.127,0.031,-0.003,-0.038,-0.002,0.032,0.029,0.005,-0.03,-0.001,0.095,0.002
Synthomer plc (LSE:SYNT),SYNT LN,13-Jul-12,Tender,Big4 to Big4,Basic Materials,866,0.137,0.211,0.527,0.576,0.748,0.051,0.057,0.131,0.197,0.406,0.087,0.154,0.396,0.38,0.343
Templeton Emerging Markets Investment Trust plc (LSE:TEM),TEM LN,11-Jul-19,Tender,Big4 to Big4,Financial,#N/A N/A,-0.027,-0.031,,,,-0.037,0.018,,,,0.01,-0.049,,,
Telecom Plus PLC (LSE:TEP),TEP LN,20-Feb-15,Tender,Non-Big4 to Big4,Communications,1734,-0.107,-0.262,-0.054,-0.239,0.129,0.061,0.081,0,-0.119,0.037,-0.168,-0.342,-0.054,-0.12,0.092
Travis Perkins plc (LSE:TPK),TPK LN,28-May-15,Tender,Big4 to Big4,"Consumer, Cyclical",7126,-0.03,-0.085,-0.097,-0.119,-0.224,-0.022,-0.102,-0.048,-0.11,0.029,-0.007,0.017,-0.049,-0.009,-0.253
TR Property Investment Trust plc (LSE:TRY),TRY LN,26-Jul-16,Tender,Big4 to Big4,Financial,#N/A N/A,0.061,0.025,0,0.223,0.515,0.01,0.006,0.086,0.159,0.222,0.051,0.018,-0.086,0.064,0.293
Tesco PLC (LSE:TSCO),TSCO LN,26-Jun-15,Previous not seeking reapp.,Big4 to Big4,"Consumer, Non-cyclical",30778,-0.021,-0.251,-0.325,-0.274,-0.254,-0.005,-0.116,-0.069,-0.16,0.049,-0.016,-0.135,-0.256,-0.115,-0.304
Tesco PLC (LSE:TSCO),TSCO LN,11-May-15,Previous not seeking reapp.,Big4 to Big4,"Consumer, Non-cyclical",30778,-0.072,-0.099,-0.252,-0.315,-0.224,-0.015,-0.011,-0.044,-0.137,0.051,-0.057,-0.087,-0.207,-0.178,-0.275
TT Electronics plc (LSE:TTG),TTG LN,15-Jul-10,Tender,Non-Big4 to Big4,Industrial,183,0.067,0.577,0.683,0.972,0.445,0.012,0.055,0.131,0.092,0.092,0.055,0.522,0.552,0.879,0.354
Greencoat UK Wind PLC (LSE:UKW),UKW LN,05-Jun-13,Not explained,Non-Big4 to non-Big4,Financial,#N/A N/A,-0.006,-0.009,-0.024,0.042,0.185,-0.021,0.038,0.076,0.208,0.405,0.015,-0.047,-0.1,-0.166,-0.219
The Unite Group plc (LSE:UTG),UTG LN,10-Jun-15,Tender,Big4 to Big4,Financial,#N/A N/A,0.003,0.107,0.091,0.114,0.131,-0.003,-0.076,-0.062,-0.117,0.07,0.006,0.183,0.153,0.231,0.061
Victrex plc (LSE:VCT),VCT LN,09-Feb-18,Tender,Big4 to Big4,Basic Materials,2728,0.063,0.131,0.341,0.01,,0.029,0.081,0.086,0.005,,0.033,0.05,0.255,0.004,
Vectura Group plc (LSE:VEC),VEC LN,25-May-17,Tender,Big4 to Big4,"Consumer, Non-cyclical",986,-0.026,-0.056,-0.227,-0.277,-0.319,-0.008,-0.04,-0.004,0.03,0.027,-0.018,-0.017,-0.223,-0.307,-0.346
Vodafone Group Plc (LSE:VOD),VOD LN,23-Jul-19,Not explained,Big4 to Big4,Communications,49462,0.149,0.244,,,,-0.048,0.014,,,,0.198,0.23,,,
Vodafone Group Plc (LSE:VOD),VOD LN,15-Feb-19,Tender,Big4 to Big4,Communications,57319,0.017,-0.108,0.08,,,0.037,0.043,0.019,,,-0.021,-0.151,0.062,,
Vodafone Group Plc (LSE:VOD),VOD LN,29-Jul-14,Tender,Big4 to Big4,Communications,97162,0.019,0.012,0.19,0.245,0.249,0.002,-0.035,0.087,0.187,0.067,0.017,0.047,0.103,0.058,0.181
Vodafone Group Plc (LSE:VOD),VOD LN,14-Feb-14,Resignation,Big4 to Big4,Communications,169398,-0.008,-0.009,-0.091,0.093,0.014,-0.03,0.041,0.018,0.168,-0.002,0.021,-0.05,-0.109,-0.075,0.016
Vesuvius plc (LSE:VSVS),VSVS LN,29-Jul-16,Not explained,Big4 to Big4,Industrial,1032,-0.041,0.011,0.283,0.521,0.81,0.007,0.002,0.08,0.143,0.225,-0.048,0.009,0.203,0.378,0.585
The Vitec Group plc (LSE:VTC),VTC LN,15-May-18,Not explained,Big4 to Big4,Industrial,688,0.113,0.008,0.045,-0.027,,-0.002,-0.023,-0.074,-0.002,,0.115,0.031,0.119,-0.025,
The Vitec Group plc (LSE:VTC),VTC LN,08-May-14,Tender,Big4 to Big4,Industrial,#N/A N/A,-0.067,-0.106,-0.027,0.05,-0.053,0.029,-0.034,0.001,0.216,0.043,-0.096,-0.072,-0.028,-0.166,-0.096
John Wood Group PLC (LSE:WG.),WG/ LN,11-May-18,Resignation,Big4 to Big4,Energy,5957,-0.008,0.029,0.038,-0.277,,-0.006,-0.007,-0.056,-0.005,,-0.002,0.036,0.093,-0.272,
John Wood Group PLC (LSE:WG.),WG/ LN,23-Mar-18,Resignation,Big4 to Big4,Energy,5957,-0.004,0.165,0.345,-0.013,,0.053,0.072,0.074,0.064,,-0.057,0.093,0.271,-0.076,
Workspace Group plc (LSE:WKP),WKP LN,14-Jul-17,Tender,Big4 to Big4,Financial,1606,0.013,0.016,0.096,0.273,0.084,-0.025,0.016,0.038,0.029,0.072,0.038,0,0.058,0.244,0.012
Watches of Switzerland Group PLC (LSE:WOSG),WOSG LN,17-Oct-19,Not explained,Big4 to Big4,"Consumer, Cyclical",#N/A N/A,0.067,,,,,0.034,,,,,0.033,,,,
Witan Investment Trust plc (LSE:WTAN),WTAN LN,31-Aug-16,Not explained,Big4 to non-Big4,Financial,#N/A N/A,0.018,0.042,0.154,0.296,0.423,-0.001,0,0.086,0.125,0.188,0.019,0.043,0.068,0.171,0.234
Whitbread PLC (LSE:WTB),WTB LN,17-Jun-15,Tender,Big4 to Big4,"Consumer, Cyclical",14796,0.037,-0.079,-0.116,-0.214,-0.197,0.058,-0.054,-0.041,-0.12,0.084,-0.021,-0.024,-0.075,-0.093,-0.282
Whitbread PLC (LSE:WTB),WTB LN,10-Mar-15,Tender,Big4 to Big4,"Consumer, Cyclical",13199,0.053,-0.011,-0.084,-0.267,-0.213,0.064,0.02,-0.058,-0.116,0.023,-0.01,-0.03,-0.027,-0.151,-0.236
STADA Arzneimittel Aktiengesellschaft (MUN:SAZ),SAZ GR,30-Aug-17,Not explained,Non-Big4 to Big4,"Consumer, Non-cyclical",4418,0.05,0.037,0.09,0.044,0.117,0.047,0.046,0.031,0.074,0.097,0.003,-0.009,0.059,-0.03,0.02
P/F Bakkafrost (OB:BAKKA),BAKKA NO,19-Apr-13,Resignation,Non-Big4 to non-Big4,"Consumer, Non-cyclical",528,-0.021,0.003,0.192,0.341,1.678,0.092,0.067,0.138,0.205,0.509,-0.113,-0.064,0.053,0.137,1.169
Europris ASA (OB:EPR),EPR NO,13-May-16,Not explained,Big4 to non-Big4,"Consumer, Cyclical",#N/A N/A,0.048,0.153,0.15,0.174,-0.096,-0.018,0.044,0.022,0.221,0.252,0.066,0.109,0.128,-0.047,-0.348
Equinor ASA (OB:EQNR),EQNR NO,16-May-12,Not explained,Big4 to Big4,Energy,86418,-0.02,0.042,-0.048,-0.048,0.372,0.005,0.122,0.092,0.307,0.487,-0.025,-0.08,-0.14,-0.356,-0.114
SpareBank 1 SMN (OB:MING),MING NO,22-Nov-18,Not explained,Big4 to Big4,Financial,1450,-0.033,0.081,0.181,,,-0.044,0.058,0.102,,,0.012,0.024,0.079,,
Norwegian Property ASA (OB:NPRO),NPRO NO,12-Apr-12,Not explained,Big4 to Big4,Financial,614,-0.019,-0.052,-0.001,0.114,-0.121,-0.009,0.003,0.075,0.182,0.373,-0.01,-0.055,-0.076,-0.067,-0.495
Norway Royal Salmon AS (OB:NRS),NRS NO,06-Jun-19,Previous reappointed,Big4 to Big4,"Consumer, Non-cyclical",999,0.07,-0.059,,,,0.045,0.042,,,,0.025,-0.101,,,
SalMar ASA (OB:SALM),SALM NO,11-Jun-13,Not explained,Big4 to Big4,"Consumer, Non-cyclical",1001,0.114,0.159,0.364,0.83,1.523,0.019,0.072,0.085,0.232,0.436,0.095,0.087,0.279,0.598,1.087
Subsea 7 S.A. (OB:SUBC),SUBC NO,31-May-11,Not explained,Big4 to Big4,Energy,3676,-0.035,-0.128,-0.207,-0.159,-0.05,-0.027,-0.15,-0.135,-0.112,0.154,-0.008,0.022,-0.072,-0.046,-0.204
ÅF Pöyry AB (publ) (OM:AF B),AFB SS,25-Apr-17,Tender,Big4 to Big4,Industrial,#N/A N/A,0,-0.022,-0.038,-0.021,0.096,0.023,-0.003,0.018,0.016,0.079,-0.023,-0.019,-0.057,-0.036,0.016
Alfa Laval AB (publ) (OM:ALFA),ALFA SS,30-Apr-13,Not explained,Big4 to Big4,Industrial,9646,0.03,0.04,0.05,0.244,0.151,0.031,0.021,0.099,0.176,0.422,-0.002,0.019,-0.049,0.069,-0.271
Addnode Group AB (publ) (OM:ANOD B),ANODB SS,27-Apr-10,Not explained,Big4 to Big4,Communications,93,-0.054,-0.095,-0.07,0.397,0.565,-0.053,0.002,0.033,0.117,0.067,-0.001,-0.097,-0.104,0.28,0.498
Avanza Bank Holding AB (publ) (OM:AZA),AZA SS,19-Mar-19,Not explained,Big4 to Big4,Financial,1444,-0.066,-0.134,0.042,,,0.022,0.021,0.046,,,-0.088,-0.156,-0.004,,
Avanza Bank Holding AB (publ) (OM:AZA),AZA SS,14-Apr-11,Not explained,Big4 to Big4,Financial,#N/A N/A,-0.072,-0.221,-0.196,-0.161,-0.207,0.023,-0.016,-0.119,-0.05,0.14,-0.095,-0.205,-0.078,-0.112,-0.347
Boliden AB (publ) (OM:BOL),BOL SS,07-May-15,Not explained,Big4 to Big4,Basic Materials,5430,-0.015,-0.078,-0.072,-0.21,0.43,0.006,0.03,-0.01,-0.118,0.085,-0.021,-0.108,-0.063,-0.092,0.345
