Ticker,AuditorYears,Auditor,Opinion,ISSscore
KBC BB Equity,#N/A N/A,PWC,Unqualified,1
YAR NO Equity,#N/A N/A,DELOITTE AS,Not audited,1
IBE SQ Equity,2,KPMG,Unqualified,1
SOLB BB Equity,18,DELOITTE,Unqualified,1
INGA NA Equity,3,KPMG ACCOUNTANTS NV,Unqualified,9
UNA NA Equity,5,KPMG,Unqualified,1
G1A GY Equity,#N/A N/A,KPMG,Unqualified,1
ULVR LN Equity,5,KPMG LLP,Unqualified,1
EVR LN Equity,8,ERNST & YOUNG LLP,Unqualified,1
HEIO NA Equity,#N/A N/A,DELOITTE,Unqualified,#N/A N/A
SBMO NA Equity,5,PRICEWATERHOUSE COOPERS,Unqualified,5
RAND NA Equity,4,DELOITTE,Unqualified,1
ASHM LN Equity,14,KPMG LLP,Unqualified,1
VER AV Equity,12,DELOITTE WIRTSCHAFTSPRUPFUNGS,Unqualified,1
AGS BB Equity,1,PWC,Unqualified,5
ORSTED DC Equity,9,PWC,Unqualified,1
VMUK LN Equity,3,ERNST & YOUNG,Unqualified,1
SOBI SS Equity,5,ERNST & YOUNG AB,Unqualified,1
GBLB BB Equity,3,DELOITEE BEDRIJFSREVISOREN,Unqualified,1
EPIA SS Equity,#N/A N/A,DELOITTE,Unqualified,1
KESKOB FH Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Not audited,1
ACS SQ Equity,#N/A N/A,DELOITTE,Unqualified,1
AED BB Equity,#N/A N/A,ERNST & YOUNG REVISEURS D'ENTR,Unqualified,#N/A N/A
SPM IM Equity,9,ERNST & YOUNG,Unqualified,1
EBS AV Equity,#N/A N/A,PWC WIRTSCHAFTSPRUFUNG AG,Unqualified,1
SAMPO FH Equity,17,ERNST & YOUNG OY,Unqualified,1
SKG ID Equity,1,KPMG,Unqualified,1
INDT SS Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,#N/A N/A
MAP SQ Equity,#N/A N/A,KPMG,Unqualified,1
OCDO LN Equity,2,DELOITTE,Unqualified,1
ATC NA Equity,#N/A N/A,DELOITTE,Unqualified,9
NTGY SQ Equity,#N/A N/A,ERNST & YOUNG,Unqualified,1
ISP IM Equity,7,KPMG,Unqualified,9
BEZ LN Equity,17,KPMG,Not audited,1
BOL FP Equity,#N/A N/A,CONSTANTIN ASSOCIES,Qualified: Limited Scope,5
ENI IM Equity,9,ERNST & YOUNG SPA,Unqualified,1
ABN NA Equity,4,ERNST & YOUNG LLP,Unqualified,1
TRYG DC Equity,17,DELOITTE,Unqualified,5
ADP FP Equity,#N/A N/A,DELOITTE & ASSOC,Unqualified,1
AF FP Equity,#N/A N/A,KPMG AUDIT,Unqualified,1
ENGI FP Equity,#N/A N/A,DELOITTE & ASSOC,Not audited,1
COV FP Equity,#N/A N/A,MAZARS,Unqualified,1
EDF FP Equity,#N/A N/A,DELOITTE & ASSOC,Unqualified,1
ORA FP Equity,#N/A N/A,KPMG AUDIT,Unqualified,1
CNP FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,5
MRL SQ Equity,#N/A N/A,DELOITTE,Unqualified,9
INDUA SS Equity,#N/A N/A,PWC,Unqualified,1
IG IM Equity,#N/A N/A,PWC,Unqualified,1
IIA AV Equity,7,ALFA CONTEXPERT SRL,Unqualified,1
MCRO LN Equity,2,KPMG LLP,Unqualified,9
AMS SE Equity,3,KPMG AUSTRIA GMBH,Unqualified,1
VOE AV Equity,24,GRANT THORNTON,Unqualified,1
BOSS GY Equity,7,ERNST & YOUNG,Unqualified,1
ABI BB Equity,#N/A N/A,DELOITTE,Unqualified,1
QIA GY Equity,17,KPMG AG,Unqualified,1
PROX BB Equity,#N/A N/A,BLANK COMPANY:1634,Unqualified,1
STM IM Equity,3,KPMG,Unqualified,1
FBK IM Equity,6,DELOITTE & TOUCHE SPA,Unqualified,1
EDP PL Equity,15,PWC,Unqualified,1
REE SQ Equity,#N/A N/A,KPMG,Unqualified,1
MT NA Equity,13,BLANK COMPANY:1634,Unqualified,1
BME SQ Equity,#N/A N/A,PRICEWATERHOUSE COOPERS AUDIT,Unqualified,1
VPK NA Equity,#N/A N/A,DELOITTE,Unqualified,1
A2A IM Equity,#N/A N/A,ERNST & YOUNG SPA,Unqualified,1
FORTUM FH Equity,#N/A N/A,DELOITTE,Unqualified,1
PST IM Equity,#N/A N/A,PRICEWATERHOUSECOOPERS SPA,Unqualified,1
CPR IM Equity,9,EY Office Ltd,Unqualified,5
VIE FP Equity,#N/A N/A,BLANK COMPANY:1634,Unqualified,1
SAN FP Equity,#N/A N/A,ERNST & YOUNG ET AUTRES,Unqualified,1
GALP PL Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
ENEL IM Equity,#N/A N/A,ERNST & YOUNG,#N/A Field Not Applicable,1
BNR GY Equity,9,PRICEWATERHOUSECOOPERS GMBH,Unqualified,10
ENG SQ Equity,#N/A N/A,ERNST & YOUNG,Unqualified,5
LIN GY Equity,27,PRICEWATERHOUSECOOPERS LLP,Unqualified,#N/A N/A
TRN IM Equity,8,PWC,Unqualified,5
TKWY NA Equity,#N/A N/A,DELOITTE ACC BV AMSTERDAM,Unqualified,5
IPN FP Equity,#N/A N/A,KPMG AUDIT,Unqualified,1
IMCD NA Equity,3,DELOITTE,Unqualified,1
SRG IM Equity,1,PRICEWATERHOUSE COOPERS,Unqualified,5
FER SQ Equity,#N/A N/A,DELOITTE,Unqualified,1
TEN IM Equity,8,PRICEWATERHOUSECOOPERS,Unqualified,1
WLN FP Equity,#N/A N/A,DELOITTE,Unqualified,1
ATL IM Equity,7,DELOITTE,Unqualified,5
UBI IM Equity,8,DELOITTE & TOUCHE SPA,Unqualified,5
